"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"IDK","Engineering College, Idukki","G","11460","27354","23087","35825","37351","39156","36955","43715","-","-","48905","-","EW:33985"
"KKE","Govt. Engineering College, Kozhikkode.","G","10986","18261","18354","17481","33170","52035","16735","15961","-","-","48445","34815","EW:38195"
"KNR","Govt. College of Engineering, Kannur.","G","11213","13755","14189","14157","22924","39531","16479","32476","-","19157","47572","34473","EW:25564 XS:16235"
"KTE","Govt. Rajiv Gandhi Institute of Tech., Kottayam.","G","9301","10936","9710","13628","22374","20584","12274","-","-","-","52973","-","EW:15161 XS:10895"
"MAC","M A College of Engineering, Kothamangalam.","G","9856","12048","11342","14005","22297","32153","10462","33738","28281","-","51165","-","CC:21 SD:9891 XS:15872"
"NSS","N S S College of Engineering, Palakkad.","G","11446","14799","13969","15141","26658","42060","14971","-","41664","-","51008","50867","EW:25303 SD:24607 XS:13091"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","11130","19929","19995","18826","37936","-","17632","-","-","-","52368","-","EW:28107"
"TCR","Govt. Engineering College,Thrissur.","G","4411","6170","6321","6546","17297","26342","6657","-","9989","9702","39014","50553","EW:9508 PD:41570 PT:16"
"TKM","T K M College of Engineering, Kollam.","G","5629","7390","6979","9889","19151","16494","8581","14742","45703","-","47455","-","CC:12"
"TRV","Govt. Engineering College, Barton Hills, TVM","G","7484","9969","8188","9714","10863","28024","9782","14049","-","10798","37069","-","EW:14352"
"TVE","College of Engineering,Thiruvananthapuram.","G","1579","2297","2454","1811","3617","6795","5477","2606","2295","6721","29338","39386","EW:4089 RP:8382"
"WYD","Govt. Engineering College, Mananthavady.","G","12428","25981","23870","35513","52133","42540","35840","35409","46879","37693","52154","48217","EW:49556"
"ADR","College of Engineering, Adoor","N","41578","51644","50538","47506","-","-","51502","-","-","-","51848","-","EW:49715 MG:50927"
"CEM","College of Engineering, Muttathara.","N","51470","-","-","-","-","-","-","-","-","-","-","-",""
"KNP","College of Engineering, Karunagappally.","N","52723","-","-","-","-","-","-","-","-","-","-","-","MG:50852"
"KSD","LBS College of Engineering, Kasaragod.","N","51187","-","-","-","-","-","-","-","-","-","-","-","MG:50455"
"MDL","Model Engineering College, Thrikkakkara.","N","11556","14236","12212","18341","15902","31591","15152","-","-","-","43524","48660","EW:39883 MG:23503 OE:33839"
"MNR","College of Engineering, Munnar.","N","53232","-","-","-","-","-","-","-","-","-","-","-","MG:52201"
"PEC","College of Engineering, Pathanapuram.","N","51959","-","-","-","-","-","-","-","-","-","-","-","MG:51862"
