"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"UNT","Universal Engineering College, Vallivattom, Thrissur.","S","52532","-","-","-","-","-","-","-","-","-","-","-",""
"VAK","Vidya Academy of Science & Technology, Kilimanoor.","S","52066","-","-","-","-","-","-","-","-","-","-","-",""
"VAS","Vidya Academy of Science & Technology, Thrissur.","S","27200","32074","39251","31489","-","43604","27342","-","-","-","52755","-","EW:46115 OE:48060"
"VIT","Vijnan Institute of Science & Technology, Piravam.","S","46654","-","-","-","-","-","-","-","-","-","-","-",""
"VJC","Viswajyothi College of Engg. & Technology,Vazhakulam.","S","23569","29867","44441","39946","46953","36220","24346","-","-","46518","-","-","AC:46791"
"VKE","Valia Koonambaikulathamma College of Engg. & tech., Parippally.","S","51378","-","-","-","-","-","-","-","-","-","-","-",""
"VML","Vimal Jyothi Engineering College, Chemperi.","S","44292","52908","52137","45034","-","-","-","-","-","-","52542","-","YR:39204"
"VPE","Mahaguru Institute of Technology, Mavelikkara, Alappuzha","S","52483","-","-","-","-","-","-","-","-","-","-","-",""
"VVT","Veda Vyasa Institute of Technology, Ponnempadam, Malappuram.","S","51568","-","-","-","-","-","-","-","-","-","-","-",""
"YCE","Younus College of Engg. & Technology, Vadakkevila, Kollam","S","52769","-","-","-","-","-","-","-","-","-","-","-","MM:49829"
