"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"NSS","N S S College of Engineering, Palakkad.","G","8724","13474","12617","17260","32616","46901","20064","22594","45323","52649","37803","53064","EW:20586"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","7973","9533","8778","9251","10724","17768","12004","9178","39917","38957","26621","44447","EW:14239"
"TCR","Govt. Engineering College,Thrissur.","G","6395","8204","7153","8040","11750","11001","8155","21839","15265","6758","27461","47810","EW:11047 PD:28767 SD:23459 XS:8153"
"TKM","T K M College of Engineering, Kollam.","G","5583","7526","6402","6076","8571","16450","13081","11193","25925","50432","31926","36737","SD:14772"
"TRV","Govt. Engineering College, Barton Hills, TVM","G","6665","8456","7589","7792","9223","12509","14728","7710","-","-","28854","34861","EW:11010"
"TVE","College of Engineering,Thiruvananthapuram.","G","3080","4372","4191","3890","4885","8728","5662","5631","36682","5430","26183","47931","CC:16 EW:5574 PT:1 RP:5193 SD:26386 XS:5061"
"AEC","College of Engineering, Aranmula, Pathanamthitta.","N","36264","40075","41320","-","-","40822","47890","-","-","-","52875","51926",""
"CEM","College of Engineering, Muttathara.","N","36093","45205","51619","43185","43223","45690","-","-","-","-","53074","-","MG:39893"
"KGR","College of Engineering, Kidangoor.","N","30995","40546","44747","46243","-","-","-","-","-","-","50139","-","EW:46594 MG:34112"
"KSD","LBS College of Engineering, Kasaragod.","N","28562","36284","34102","28837","32766","44957","47694","-","-","-","45531","-","MG:51382"
"LBT","LBS Institute of Tech. for Women, Poojapura, TVPM","N","13780","16421","15396","14196","15837","23525","15514","-","-","-","42111","-","EW:21989 MG:50530"
"PEC","College of Engineering, Pathanapuram.","N","35554","42742","50683","36106","-","-","-","44397","-","-","50848","-","EW:42666 MG:50140"
"PRP","College of Engineering & Management, Punnapra.","N","32734","38843","37743","47341","47921","-","-","-","-","-","47014","-","MG:47832"
"TKR","College of Engineering, Thrikarippur, Kasaragod.","N","35034","36804","39450","35189","-","39186","42682","-","-","-","53061","50006","EW:46521 MG:50226 OE:47557"
"TLY","College of Engineering, Thalassery, Kannur.","N","25984","26601","30102","26427","-","46196","34599","-","-","-","51448","-","EW:51941 MG:50184"
"VDA","College of Engineering, Vadakara, Kozhikode.","N","28610","30693","31832","29306","43378","-","30977","-","-","-","49031","43452","EW:41830 MG:52651"
"AAE","Al-Azhar College of Engineering & Technology, Thodupuzha.","S","52258","-","-","-","-","-","-","-","-","-","-","-","MM:53075"
"AAP","Al-Ameen College of Engineering, Pattambi.","S","52102","-","-","-","-","-","-","-","-","-","-","-",""
"AIK","Albertian Institute of Science and Technology, Kalamassery.","S","51540","-","-","-","-","-","-","-","-","-","-","-","YA:22949"
"AJC","Amal Jyothi College of Engineering, Koovapally, Kanjirapally","S","51426","-","-","-","-","-","-","-","-","-","-","-","YB:43063"
"AME","Rajadhani Institute of Science and Technology, Palakkad","S","53203","-","-","-","-","-","-","-","-","-","-","-",""
"ASI","Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.","S","52505","-","-","-","-","-","-","-","-","-","-","-",""
"ATP","Ahalia School of Engineering & Technology, Pudussery, Palakkad.","S","48557","-","-","-","-","-","-","-","-","-","-","-",""
