"Name of College","","Type","SM","EZ","MU","BH","LA","DV","VK","BX","KU","KN","SC","ST","Other Categories"
"NSS","N S S College of Engineering, Palakkad.","G","9769","13185","13227","14421","20734","29817","11144","-","-","-","53162","51726","EW:19905 PT:44"
"PKD","Govt. Engineering College, Sreekrishnapuram.","G","9642","16933","16725","16874","43051","47665","16216","-","-","-","51411","-","EW:25496"
"TCR","Govt. Engineering College,Thrissur.","G","3902","5238","4960","4931","6843","18721","6744","19707","12827","30336","42403","-","EW:7473"
"TKM","T K M College of Engineering, Kollam.","G","4764","5985","5989","7421","6670","42430","6931","8497","17673","9792","39222","-","RP:7032 SD:5730"
"TRV","Govt. Engineering College, Barton Hills, TVM","G","6405","7678","7476","8036","7614","14887","13603","14396","-","47246","44888","-","EW:11606"
"TVE","College of Engineering,Thiruvananthapuram.","G","1463","2076","2462","1858","3763","9241","3052","6090","11124","11222","27796","26399","EW:3135 PI:2 SD:2077 XS:3238"
"WYD","Govt. Engineering College, Mananthavady.","G","10116","23364","23980","34414","-","-","29335","50159","-","41514","52276","-","EW:41240"
"ADR","College of Engineering, Adoor","N","49677","-","-","-","-","-","-","-","-","-","-","-","MG:28839"
"AEC","College of Engineering, Aranmula, Pathanamthitta.","N","50733","-","-","-","-","-","-","-","-","-","-","-",""
"CEA","College of Engineering, Attingal, Thiruvananthapuram.","N","39396","40325","47392","40786","-","-","-","-","-","-","51643","-","MG:51434"
"CEC","College of Engineering, Cherthala, Alappuzha.","N","52050","-","-","-","-","-","-","-","-","-","-","-","MG:45151"
"CEM","College of Engineering, Muttathara.","N","52323","-","-","-","-","-","-","-","-","-","-","-",""
"CHN","College of Engineering, Chengannur, Alappuzha.","N","49972","-","-","-","-","-","-","-","-","-","-","-","MG:51713"
"KGR","College of Engineering, Kidangoor.","N","52382","-","-","-","-","-","-","-","-","-","-","-","MG:49016"
"KNP","College of Engineering, Karunagappally.","N","51690","-","-","-","-","-","-","-","-","-","-","-",""
"KSD","LBS College of Engineering, Kasaragod.","N","52710","-","-","-","-","-","-","-","-","-","-","-",""
"MDL","Model Engineering College, Thrikkakkara.","N","7942","9432","8286","-","-","52054","31765","-","40275","37051","52846","-","EW:10664 MG:13871"
"MNR","College of Engineering, Munnar.","N","45607","-","-","-","-","-","-","-","-","-","-","-","MG:51645"
"PEC","College of Engineering, Pathanapuram.","N","51792","-","-","-","-","-","-","-","-","-","-","-",""
"PRN","College of Engineering Perumon.","N","24696","30425","38371","28888","27073","-","48611","-","-","-","50085","-","EW:24822 MG:46801"
"PRP","College of Engineering & Management, Punnapra.","N","52335","-","-","-","-","-","-","-","-","-","-","-","MG:52086"
"PTA","College of Engineering, Kallooppara.","N","52452","-","-","-","-","-","-","-","-","-","-","-",""
"TKR","College of Engineering, Thrikarippur, Kasaragod.","N","53013","-","-","-","-","-","-","-","-","-","-","-",""
